name,description,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
pcst_e28,Product of Test Weights Multiplied by Valid Scores for CST in English-language arts Grades 2-8,,,,,,X,X,X,,,,,,
pcst_e911,Product of Test Weights multiplied by Valid Scores for CST in English-language arts Grades 9-11,,,,,,,,,X,X,X,X,X,X
pcst_e911,Product of Test Weights Multiplied by Valid Scores for CST in English-language arts Grades 9-11,,,,,,X,X,X,,,,,,
pcst_h28,Product of Test Weights multiplied by Valid Scores for CST in history-social science Grades 2-8,,,,,,,,,X,X,X,X,X,X
pcst_h28,Product of Test Weights Multiplied by Valid Scores for CST in history-social science Grades 2-8,,,,,,X,X,X,,,,,,
pcst_h911,Product of Test Weights Multiplied by Valid Scores for CST in history-social science Grades 9-11,,,,,,X,X,X,,,,,,
pcst_h911,Product of Test Weights multiplied by Valid Scores for CST in history-social science Grades 9-11,,,,,,,,,X,X,X,X,X,X
pcst_ls10,Product of Test Weights Multiplied by Valid scores for CST in Life Science Grade 10 only,,,,,,,,X,,,,,,
pcst_ls10,Product of Test Weights multiplied by Valid scores for CST in Life Science Grade 10 only,,,,,,,,,X,X,X,X,X,X
pcst_m28,Product of Test Weights Multiplied by Valid Scores for CST in mathematics Grades 2-8,,,,,,X,X,X,,,,,,
pcst_m28,Product of Test Weights multiplied by Valid Scores for CST in mathematics Grades 2-8,,,,,,,,,X,X,X,X,X,X
pcst_m911,Product of Test Weights Multiplied by Valid Scores for CST in mathematics Grades 9-11,,,,,,X,X,X,,,,,,
pcst_m911,Product of Test Weights multiplied by Valid Scores for CST in mathematics Grades 9-11,,,,,,,,,X,X,X,X,X,X
pcst_s28,Product of Test Weights Multiplied by Valid Scores for CST in science Grades 2-8,,,,,,X,X,X,,,,,,
pcst_s28,Product of Test Weights multiplied by Valid Scores for CST in science Grades 2-8,,,,,,,,,X,X,X,X,X,X
pcst_s911,"Product of Test Weights multiplied by Valid Scores for CST in science Grades 9-11. End of Course, CST.",,,,,,,,,X,X,X,X,X,X
pcst_s911,"Product of Test Weights Multiplied by Valid Scores for CST in science Grades 9-11. End of Course, CST.",,,,,,,,X,,,,,,
pcst_s911,Product of Test Weights Multiplied by Valid Scores for CST in science Grades 9-11,,,,,,X,X,,,,,,,
pcstm2_28,Product of Test Weights Multiplied by Valid scores for Mathematics Assignment of 200 CST in Grades 2-8,,,,,,,,X,,,,,,
pcstm2_28,Product of Test Weights multiplied by Valid scores for Mathematics Assignment of 200 CST in Grades 2-8,,,,,,,,,X,X,X,X,X,X
pcstm2_911,Product of Test Weights multiplied by Valid scores for Mathematics Assignment of 200 CST in Grades 9-11,,,,,,,,,X,X,X,X,,
pcstm2_911,Product of Test Weights multiplied by Valid scores for Mathematics Assignment of 200 CST in Grades 8-11,,,,,,,,,,,,,X,X
pcstm2_911,Product of Test Weights Multiplied by Valid scores for Mathematics Assignment of 200 CST in Grades 9-11,,,,,,,,X,,,,,,
pcsts2_911,"Product of Test Weights multiplied by Valid scores for Science Assignment of 200 CST in Grades 9-11, end of course",,,,,,,,,,,,,X,X
pcsts2_911,Product of Test Weights Multiplied by Valid scores for Science Assignment of 200 CST in Grades 9-11,,,,,,,,X,,,,,,
pcsts2_911,Product of Test Weights multiplied by Valid scores for Science Assignment of 200 CST in Grades 9-11,,,,,,,,,X,X,X,X,,
pct_aa,Percent African American,X,X,X,X,X,X,X,X,X,X,,,,
pct_aa,Percent Black or African American,,,,,,,,,,,X,X,X,X
pct_ai,Percent American Indian,X,X,X,X,X,X,X,X,X,X,X,X,X,X
pct_as,Percent Asian,X,X,X,X,X,X,X,X,X,X,X,X,X,X
pct_fi,Percent Filipino,X,X,X,X,X,X,X,X,X,X,X,X,X,X
pct_hi,Percent Hispanic or Latino,X,X,X,X,X,X,X,X,X,X,X,X,X,X
pct_mr,Percent Two or More Races,,,,,,,,,,,X,X,X,X
pct_pi,Percent Pacific Islander,X,X,X,X,X,X,X,X,X,X,X,X,X,X
pct_resp,Percent of Student Answer Documents with Parent Education Level Information,X,X,X,X,X,X,X,X,X,X,X,X,X,X
pct_test,Percentage of Students Tested,X,X,X,X,X,X,,,,,,,,
pct_wh,Percent White,X,X,X,X,X,X,X,X,X,X,X,X,X,X
pen_2,Percent of Enrollments in grade 2 (STAR),,,,,,,X,X,X,X,X,X,X,X
pen_35,Percent of Enrollments in grades 3-5 (STAR),,,,,,,X,X,X,,,,,
pen_35,Percent of Enrollments in grades 3 - 5 (STAR),,,,,,,,,,X,X,X,X,X
pen_6,Percent of Enrollments in grade 6 (STAR),,,,,,,X,X,X,X,X,X,X,X
pen_78,Percent of Enrollments in grades 7 - 8 (STAR),,,,,,,,,,X,X,,X,X
pen_78,Percent of Enrollments in grades 7 - 8(STAR),,,,,,,,,,,,X,,
pen_78,Percent of Enrollments in grades 7-8 (STAR),,,,,,,X,X,X,,,,,
pen_911,Percent of Enrollments in grades 9-11 (STAR),,,,,,,X,,,,,,,
pen_911,Percent of Enrollments in grades 9 - 11 (STAR),,,,,,,,,,X,X,,,X
pen_911,Percent of Enrollments in grades 9-11(STAR),,,,,,,,X,X,,,,,
pen_9_base,Percent of Enrollments in grades 9 - 11 (STAR),,,,,,,,,,,,,X,
pen_9_growth,Percent of Enrollments in grades 9 - 11(STAR),,,,,,,,,,,,X,,
pi_api_base,[Last Year] Native Hawaiian/Pacific Islander API (Base),,,,,,,,,,,X,,,
pi_api_base,[Last Year] Native Hawaiian or Pacific Islander API (Base),,,,,,,,,,,,X,X,X
pi_api_base,[Last Year] Pacific Islanders API (Base),X,X,X,X,X,X,X,X,X,X,,,,
pi_api_growth,[This Year] Native Hawaiian or Pacific Islander API (Growth),,,,,,,,,,,,X,X,X
pi_api_growth,[This Year] Pacific Islanders API (Growth),X,X,X,X,X,X,X,X,X,X,,,,
pi_api_growth,[This Year] Native Hawaiian/Pacific Islander API (Growth),,,,,,,,,,,X,,,
pi_grow,[Last year Range] Subgroup Growth,X,X,X,X,X,X,X,X,X,X,X,,,
pi_grow,[Last year Range] Native Hawaiian or Pacific Islander Subgroup API Growth,,,,,,,,,,,,X,,
pi_grow,[Last year Range] Native Hawaiian or Pacific Islander API Growth,,,,,,,,,,,,,X,X
pi_met,Met Native Hawaiian/Pacific Islander Subgroup Growth Target,,,,,,,,,,,X,,,
pi_met,Met Native Hawaiian or Pacific Islander Growth Target,,,,,,,,,,,,,X,X
